#: table_doi: 10.17182/hepdata.1698.v1/t8
#: name: Table 8
#: description: Correlation function binned in intervals of chi. Note the function is still given as dsigma/dcos(chi).

#: data_file: Table8.yaml
#: keyword reactions: E+ E- --> HADRONS
#: keyword observables: CORR | DSIGMA/DCOSCHI
#: keyword phrases: Exclusive | Single Differential Cross Section | Angular Dependence | E+ E- Scattering
#: keyword cmenergies: 43.5
#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,43.5
#: SQRT(S),,,43.5
THETA [DEGREES],THETA [DEGREES] LOW,THETA [DEGREES] HIGH,D(SIGMA)/D(COS(CHI)),error +,error -
1.8,0.0,3.6,62.87,0.824,-0.824
5.4,3.6,7.2,7.522,0.205,-0.205
9.0,7.2,10.8,4.62,0.086,-0.086
12.600000000000001,10.8,14.4,2.619,0.049,-0.049
16.2,14.4,18.0,1.84,0.029,-0.029
19.8,18.0,21.6,1.204,0.02,-0.02
23.4,21.6,25.2,0.839,0.016,-0.016
27.0,25.2,28.8,0.621,0.01,-0.01
30.6,28.8,32.4,0.481,0.008,-0.008
34.2,32.4,36.0,0.376,0.007,-0.007
37.8,36.0,39.6,0.301,0.006,-0.006
41.400000000000006,39.6,43.2,0.246,0.005,-0.005
45.0,43.2,46.8,0.213,0.005,-0.005
48.599999999999994,46.8,50.4,0.186,0.004,-0.004
52.2,50.4,54.0,0.164,0.004,-0.004
55.8,54.0,57.6,0.146,0.004,-0.004
59.400000000000006,57.6,61.2,0.144,0.004,-0.004
63.0,61.2,64.8,0.127,0.003,-0.003
66.6,64.8,68.4,0.122,0.003,-0.003
70.2,68.4,72.0,0.117,0.004,-0.004
73.8,72.0,75.6,0.113,0.003,-0.003
77.4,75.6,79.2,0.112,0.004,-0.004
81.0,79.2,82.8,0.109,0.004,-0.004
84.6,82.8,86.4,0.106,0.004,-0.004
88.2,86.4,90.0,0.105,0.003,-0.003
91.8,90.0,93.6,0.108,0.003,-0.003
95.4,93.6,97.2,0.111,0.004,-0.004
99.0,97.2,100.8,0.116,0.004,-0.004
102.6,100.8,104.4,0.116,0.004,-0.004
106.2,104.4,108.0,0.121,0.004,-0.004
109.8,108.0,111.6,0.129,0.004,-0.004
113.4,111.6,115.2,0.137,0.004,-0.004
117.0,115.2,118.8,0.153,0.004,-0.004
120.6,118.8,122.4,0.169,0.005,-0.005
124.2,122.4,126.0,0.185,0.005,-0.005
127.8,126.0,129.6,0.212,0.006,-0.006
131.39999999999998,129.6,133.2,0.243,0.006,-0.006
135.0,133.2,136.8,0.278,0.007,-0.007
138.60000000000002,136.8,140.4,0.339,0.008,-0.008
142.2,140.4,144.0,0.401,0.008,-0.008
145.8,144.0,147.6,0.491,0.01,-0.01
149.39999999999998,147.6,151.2,0.661,0.012,-0.012
153.0,151.2,154.8,0.859,0.015,-0.015
156.60000000000002,154.8,158.4,1.149,0.019,-0.019
160.2,158.4,162.0,1.657,0.028,-0.028
163.8,162.0,165.6,2.439,0.04,-0.04
167.39999999999998,165.6,169.2,3.64,0.062,-0.062
171.0,169.2,172.8,5.734,0.113,-0.113
174.60000000000002,172.8,176.4,8.984,0.237,-0.237
178.2,176.4,180.0,13.264,0.651,-0.651

