#: table_doi: 10.17182/hepdata.29245.v1/t2
#: name: Table 2
#: description: The EEC and its asymmetry at the hadron level, unfolded for initial-state radiation and for detector acceptance and resolution. Errors include full statistical and systematic uncertainties.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> HADRONS | E+ E- --> Z0
#: keyword observables: CORR | DN/DCHI
#: keyword phrases: Exclusive | Single Differential Distribution | E+ E- Scattering
#: keyword cmenergies: 91.3
#: RE,,,E+ E- --> HADRONS
#: SQRT(S) [GeV],,,91.3,,
CHI [DEGREES],CHI [DEGREES] LOW,CHI [DEGREES] HIGH,EEC(CHI) [RAD**-1],error +,error -
0.5,0.0,1.0,4.646,0.181,-0.181
1.5,1.0,2.0,0.933,0.22,-0.22
2.5,2.0,3.0,1.289,0.088,-0.088
3.5,3.0,4.0,1.383,0.169,-0.169
4.5,4.0,5.0,1.34,0.157,-0.157
5.5,5.0,6.0,1.258,0.087,-0.087
6.5,6.0,7.0,1.149,0.058,-0.058
7.5,7.0,8.0,1.037,0.035,-0.035
8.5,8.0,9.0,0.933,0.021,-0.021
9.5,9.0,10.0,0.839,0.022,-0.022
10.5,10.0,11.0,0.758,0.025,-0.025
11.5,11.0,12.0,0.69,0.02,-0.02
12.5,12.0,13.0,0.626,0.014,-0.014
13.5,13.0,14.0,0.568,0.013,-0.013
14.5,14.0,15.0,0.5193,0.0092,-0.0092
15.5,15.0,16.0,0.4732,0.0045,-0.0045
16.5,16.0,17.0,0.433,0.012,-0.012
17.5,17.0,18.0,0.396,0.014,-0.014
18.5,18.0,19.0,0.3662,0.0095,-0.0095
19.5,19.0,20.0,0.3367,0.0051,-0.0051
20.5,20.0,21.0,0.3103,0.0064,-0.0064
21.5,21.0,22.0,0.288,0.011,-0.011
22.5,22.0,23.0,0.269,0.0073,-0.0073
23.5,23.0,24.0,0.2526,0.0054,-0.0054
24.5,24.0,25.0,0.2372,0.0057,-0.0057
25.5,25.0,26.0,0.2239,0.0088,-0.0088
26.5,26.0,27.0,0.2119,0.0044,-0.0044
27.5,27.0,28.0,0.2011,0.0024,-0.0024
28.5,28.0,29.0,0.1927,0.0038,-0.0038
29.5,29.0,30.0,0.1835,0.0035,-0.0035
30.5,30.0,31.0,0.1753,0.002,-0.002
31.5,31.0,32.0,0.1678,0.0024,-0.0024
32.5,32.0,33.0,0.1617,0.0025,-0.0025
33.5,33.0,34.0,0.1564,0.003,-0.003
34.5,34.0,35.0,0.1494,0.0017,-0.0017
35.5,35.0,36.0,0.1447,0.0013,-0.0013
36.5,36.0,37.0,0.1409,0.003,-0.003
37.5,37.0,38.0,0.1367,0.0012,-0.0012
38.5,38.0,39.0,0.1316,0.0021,-0.0021
39.5,39.0,40.0,0.1281,0.0011,-0.0011
40.5,40.0,41.0,0.1261,0.0013,-0.0013
41.5,41.0,42.0,0.1224,0.0023,-0.0023
42.5,42.0,43.0,0.1191,0.0021,-0.0021
43.5,43.0,44.0,0.116,0.0019,-0.0019
